Parameter,Blank value,Unit
SiO2,0.090052707,%
TiO2,0.23454478,%
Al2O3,0.240320769,%
Fe2O3,0.027854262,%
MnO,0.006692402,%
MgO,0.079451288,%
CaO,0.447856094,%
Na2O,0.225840848,%
K2O,0.086926129,%
P2O5,0.044259264,%
Rb ,5.343562774,ppm
Sr  ,0.401723515,ppm
Ba ,<LD,ppm
Sc,0.313719747,ppm
V    ,2.638098774,ppm
Cr   ,0.909109464,ppm
Co   ,<LD,ppm
Ni     ,0.79254419,ppm
Y     ,0.366069775,ppm
Zr ,6.568153984,ppm
Nb ,<LD,ppm
La,0.736974178,ppm
Ce,<LD,ppm
Nd,<LD,ppm
Sm,<LD,ppm
Eu,0.242138727,ppm
Gd,<LD,ppm
Dy,2.640755623,ppm
Er,<LD,ppm
Yb,<LD,ppm
Th,<LD,ppm