Sample,Type,Location,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr   ,Ba  ,Sc,V     ,Cr    ,Co    ,Ni      ,Y      ,Zr  ,Nb  ,La,Ce,Nd,Sm,Eu,Gd,Dy,Er,Yb,Th
E-11-03,Artefact,Emae,70.1,0.296,13.9,4.06,0.131,0.252,1.73,4.3,4.12,0.05,116,179,1054,10.5,4,4.55,2.5,8.37,43.9,223,5.09,26.7,52.8,49.8,6.6,1.22,6.7,6.98,4.63,5.14,6.06
E-11-06,Artefact,Emae,49.6,0.77,15.2,11.4,0.204,7.58,10.9,2.57,0.763,0.3,10.6,856,332,42.1,363,101.27,41.5,1026,16,45.7,1.29,19,38.4,38,5.04,1.47,4.19,3.21,1.82,1.54,2.99
E-11-07,Artefact,Emae,48.9,0.781,16.3,11.8,0.206,6.47,10.2,2.68,0.813,0.314,11.6,864,363,38.7,360,468.91,79.2,3813,17.1,41.8,1.53,16.6,36.3,26.5,4.51,1.28,3.76,3.14,1.65,1.52,2.41
E-11-08,Artefact,Emae,46.7,3.46,15.4,14.5,0.181,4.58,7.65,3.58,1.4,0.66,37,697,345,15.9,228,85.52,50.5,5088,49.6,393,47.3,37.9,88.2,41,13.2,4.27,12.2,9.83,4.4,3.23,3.79
E-11-08dup,Artefact,Emae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-11-10,Source,Emae,50.2,0.679,15,10.2,0.185,8.33,11.6,2.54,0.973,0.346,16.2,886,320,40.1,323,199.34,33.1,63.4,16.1,53.8,0.858,24.7,53.2,44.5,5.86,1.72,4.17,3.07,1.59,1.28,4.25
E-11-11,Source,Emae,49.2,0.806,17.8,11.9,0.212,5.79,10.1,3.03,1.22,0.351,13,898,335,33.5,355,27.73,31.5,29.2,18.9,38.6,0.371,13.7,27.9,29.9,4.64,1.43,3.96,3.45,1.74,1.74,1.56
E-11-13,Source,Emae,49,0.864,18.9,12.3,0.224,5.59,10.2,3.34,0.798,0.376,10,932,353,28.9,374,7.12,33.5,23.9,20.4,30.1,0.493,10.5,22.5,30.5,4.03,1.33,4.27,3.59,1.75,1.78,0.375
E-11-16,Source,Emae,49.1,0.849,19,12.4,0.224,5.51,10.3,3.38,0.759,0.38,10.2,957,349,28.8,374,6.61,33,23.1,21.2,30.2,1.45,10.9,23.5,21.1,4.53,1.44,4.05,3.61,1.97,1.81,0.711
E-11-18,Source,Emae,46.9,0.708,16.8,13.2,0.231,7.97,12.6,2.6,0.701,0.164,7.8,615,228,49.8,377,100.63,49.7,55.9,17,29.6,0.485,6.89,16,17.1,2.71,0.977,3.34,3.2,1.8,1.65,0.715
E-11-18dup,Source,Emae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-11-19,Source,Emae,46.1,0.668,17.4,12.3,0.214,7.95,12.1,2.11,0.621,0.151,7.1,604,205,45.2,379,90.59,45.8,62.5,14.9,27.7,0.586,6.14,14.4,16.2,2.5,0.852,2.81,2.7,1.94,1.49,0.551
T-12-06,Artefact,Taumako,45.8,3.92,15.2,15.9,0.19,5.02,8.06,3.5,1.32,0.642,34,693,283,16.8,283,6.16,45.9,2174,47.8,373,44.8,37.5,83.7,36.2,12.1,4.22,12.4,10,4.54,3.25,3.89
T-12-06dup,Artefact,Taumako,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-12-07,Artefact,Taumako,45,4.22,15.6,14.8,0.173,5.29,8.68,3.4,1.28,0.589,29.5,591,264,17.2,269,8.77,46.5,193,43.8,347,38,31.9,75.6,26.6,11.5,3.82,11.6,9.12,4.18,3.05,3.26
T-12-08,Artefact,Taumako,47.4,3.47,15.9,14,0.178,4.94,8.09,3.68,1.49,0.737,41.4,731,365,16.6,224,6.2,38.8,26.5,43.5,344,45.8,39.4,89,49.4,12.8,4.18,12.3,9.42,4.29,2.96,4.11
T-12-09,Artefact,Taumako,45.6,4.56,15.9,14.4,0.165,5.65,8.29,3.3,1.22,0.571,32.4,610,298,20.2,293,9.34,55.5,49.6,39.6,320,38.1,31.8,70.9,23.7,10.2,3.63,10.7,8.48,3.71,2.92,3.13
T-12-10,Artefact,Taumako,47.2,4.2,15.9,14.5,0.161,4.6,7.95,3.58,1.35,0.628,34.9,774,294,15.5,249,8.11,50.1,617,50.7,380,43.5,39.6,96.6,33.3,14,5.03,13.8,10.8,4.77,3.19,4.06
K-12-24,Artefact,Kapingamarangi,38.5,5.04,12.3,17.7,0.259,7.34,11,3.11,1.41,1.57,30.9,1226,681,23.2,330,25.52,53,56.8,55.7,621,114,96.6,208,104,22.4,6.73,18.3,12.3,5.76,3.49,9.83
K-12-25,Artefact,Kapingamarangi,44.6,1.8,14.9,14,0.179,12.2,10.6,2.39,0.393,0.237,7.3,391,114,29.7,273,451.38,64.6,323,20.8,88.4,11.5,9.77,21.7,,3.3,1.23,3.72,3.91,2.27,1.69,0.7
K-12-26,Artefact,Kapingamarangi,44.4,3.81,14.9,13.5,0.16,5.18,12,3.91,0.851,0.807,4.3,671,28,22.6,330,56.95,22.2,46.6,39.8,224,39.1,45.4,109,43.6,14.1,4.1,12,8.81,4.17,2.35,1.78
K-12-28,Artefact,Kapingamarangi,53.6,0.467,15.4,11.3,0.171,6.82,11.7,1.43,0.053,0.087,2.9,164,29,23.8,345,199.82,40.8,125,14.7,20.3,0.663,5.71,12.6,18.8,2.02,0.802,2.6,2.54,1.32,1.29,0.472
K-12-29,Artefact,Kapingamarangi,49.7,0.797,20.7,9.73,0.159,2.84,10.3,3.2,1.64,0.407,7.9,484,98,28.2,290,40.46,21.4,8.71,18.5,42.3,1.13,7.66,17.7,20.3,3.06,1.05,3.35,3.22,2.12,1.86,0.884
ME,-,-,49.1,1.72,15.4,9.56,0.172,7.32,10.7,3.13,0.384,0.246,6.6,210,32,36,269,266.19,37.3,98.4,31.4,153,8.36,8.87,22.1,12.9,3.74,1.43,5.44,5.4,2.66,3.07,0.359
WS-E,-,-,51.3,2.41,13.3,13,0.172,5.35,8.67,2.45,0.974,0.299,24.5,393,337,27.3,348,96.96,43.6,57.6,31.8,199,16.9,25.7,59.1,29.6,8.66,2.11,6.94,5.8,2.58,2.44,3.04