Sample,Type,Location,143Nd/144Nd ,143Nd/144Nd SD,87Sr/86Sr,87Sr/86Sr SD,206Pb/204Pb,206Pb/204Pb SD,207Pb/204Pb,207Pb/204Pb SD,208Pb/204Pb,208Pb/204Pb SD
E-11-03,Artefact,Emae,0.51294,0.000004,0.704452,0.000081,18.383,0.001,15.535,0.001,38.46,0.002
E-11-06,Artefact,Emae,0.512927,0.000003,0.704193,0.000024,18.557,0.001,15.568,0.001,38.531,0.002
E-11-07,Artefact,Emae,0.512932,0.000004,0.704155,0.000013,18.534,0.001,15.565,0.001,38.506,0.003
E-11-08,Artefact,Emae,0.512854,0.000003,0.705291,0.000012,18.846,0.001,15.586,0.001,38.822,0.002
E-11-08dup,Artefact,Emae,0.512855,0.000003,,,,,,,,
E-11-10,Source,Emae,0.512924,0.000004,0.704177,0.000016,18.564,0.001,15.569,0.001,38.528,0.002
E-11-11,Source,Emae,0.512939,0.000004,0.704146,0.000012,18.544,0.001,15.56,0.001,38.522,0.002
E-11-13,Source,Emae,0.512951,0.000004,0.70412,0.000012,18.311,0.002,15.536,0.001,38.261,0.018
E-11-16,Source,Emae,0.512951,0.000003,0.704126,0.000017,18.517,0.001,15.548,0.001,38.519,0.002
E-11-18,Source,Emae,0.512954,0.000004,0.704151,0.000014,18.512,0.001,15.555,0.001,38.494,0.002
E-11-18dup,Source,Emae,,,0.704179,0.000012,18.514,0.001,15.555,0.001,38.497,0.002
E-11-19,Source,Emae,,,,,,,,,,
T-12-06,Artefact,Taumako,0.512855,0.000004,0.705288,0.00002,18.89,0.001,15.587,0.001,38.871,0.002
T-12-06dup,Artefact,Taumako,0.512854,0.000004,,,,,,,,
T-12-07,Artefact,Taumako,0.512871,0.000004,0.705108,0.000011,18.911,0.001,15.583,0.001,38.861,0.002
T-12-08,Artefact,Taumako,0.512855,0.000003,0.705207,0.000016,18.909,0.014,15.601,0.011,38.894,0.029
T-12-09,Artefact,Taumako,0.512872,0.000005,0.705117,0.000015,18.925,0.001,15.585,0.001,38.897,0.002
T-12-10,Artefact,Taumako,0.512861,0.000004,0.70517,0.000013,18.812,0.001,15.581,0.001,38.75,0.003
K-12-24,Artefact,Kapingamarangi,0.51299,0.000003,0.703464,0.000012,18.405,0.001,15.527,0.001,38.31,0.002
K-12-25,Artefact,Kapingamarangi,0.512909,0.000004,0.704127,0.000086,18.624,0.001,15.583,0.001,38.661,0.003
K-12-26,Artefact,Kapingamarangi,0.512993,0.000003,0.703601,0.000014,18.727,0,15.533,0.001,38.443,0.002
K-12-28,Artefact,Kapingamarangi,0.513026,0.000003,0.703886,0.000013,18.238,0.002,15.545,0.002,38.255,0.004
K-12-29,Artefact,Kapingamarangi,0.512916,0.000002,0.704397,0.000002,18.547,0.003,15.57,0.003,38.426,0.002
BR-24,,,0.512804,0.000003,0.705073,0.000008,19.092,0.001,15.615,0.001,38.843,0.002